iter	RMSE
0	1197.725066
1	1084.221631
2	987.6851326
3	896.8584657
4	815.653501
5	740.1515409
6	673.2426477
7	614.6819668
8	561.9480965
9	512.9020281
10	467.2139357
11	428.1746816
12	391.085491
13	359.977248
14	330.435306
15	302.9195044
16	279.2768053
17	257.4310049
18	238.1386956
19	220.2383293
20	205.0970437
21	191.7107316
22	179.9339007
23	168.757222
24	159.7432765
25	151.472011
26	144.0436933
27	137.8448731
28	132.5293131
29	127.8634342
30	122.8814425
31	119.092478
32	115.8473429
33	112.9601147
34	110.4252692
35	107.5805783
36	105.6656136
37	103.9695774
38	102.2168996
39	100.4812727
40	99.15873832
41	98.21266173
42	96.75550356
43	95.77565969
44	94.83717617
45	93.65258961
46	92.53361129
47	91.6184709
48	90.99167159
49	89.96612258
50	89.24692285
51	88.60661287
52	87.94283722
53	86.96768961
54	86.32751983
55	85.65695681
56	85.38613148
57	85.024581
58	84.54059877
59	83.9741366
60	83.26381952
61	82.79276439
62	82.20019872
63	81.77880829
64	81.31269103
65	80.77532186
66	80.60791361
67	79.91161138
68	79.31599612
69	78.75718434
70	78.18934449
71	77.7627867
72	77.35299135
73	76.74852423
74	76.42800825
75	76.13478771
76	75.90262409
77	75.47848448
78	75.05685252
79	74.87227685
80	74.60314586
81	74.07757328
82	73.44210452
83	73.11902478
84	72.36337679
85	72.16381911
86	71.73549317
87	71.04786498
88	70.77331517
89	70.44305291
90	70.28199797
91	70.10786421
92	69.59056805
93	69.28542597
94	68.89431326
95	68.40201909
96	67.79554411
97	67.43010876
98	67.14792684
99	66.72818177
