iter	Passed	Remaining
0	2	210
1	3	190
2	5	192
3	7	182
4	9	172
5	10	165
6	11	158
7	13	153
8	14	150
9	16	146
10	18	145
11	19	144
12	21	141
13	22	139
14	24	136
15	25	133
16	26	131
17	28	129
18	29	127
19	31	126
20	33	125
21	34	123
22	36	121
23	37	119
24	39	117
25	40	115
26	41	113
27	43	111
28	44	110
29	47	111
30	49	110
31	51	108
32	52	106
33	54	105
34	55	103
35	57	101
36	58	99
37	59	97
38	62	97
39	63	95
40	65	94
41	66	92
42	68	90
43	69	89
44	71	87
45	72	85
46	74	83
47	76	83
48	78	81
49	79	79
50	81	78
51	82	76
52	84	74
53	85	72
54	86	71
55	88	69
56	89	67
57	91	66
58	93	64
59	94	63
60	96	61
61	98	60
62	100	59
63	101	57
64	103	55
65	105	54
66	106	52
67	108	51
68	109	49
69	111	47
70	112	45
71	114	44
72	115	42
73	116	41
74	118	39
75	120	37
76	121	36
77	123	34
78	124	33
79	125	31
80	127	29
81	128	28
82	130	26
83	132	25
84	133	23
85	135	22
86	136	20
87	138	18
88	139	17
89	140	15
90	142	14
91	143	12
92	145	10
93	147	9
94	148	7
95	150	6
96	151	4
97	153	3
98	154	1
99	156	0
